"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","eids-badge__description","he-lazy-image src","eids-badge__label","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-kiralik/daire/116955-5334","57","110.000","23-02-2025","İstanbul Kiralık Daire","4 +
                          1","225 m²","40
                        Yaşında","2. Kat","Bağdat Caddesi Üzerinde Caddebostanda Kiralık Geniş 4 + 1 Daire","İstanbul / Kadıköy / Caddebostan Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/kw-fores-116955","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/2/7/5/3/2/4/4/1740296815-186617-44235721.jpeg","Kw Fores","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/5/9/6/1/1/0b69d413-2ac7-4813-bc3b-82f6fadb1143.jpeg"
"https://www.hepsiemlak.com/istanbul-sisli-kustepe-kiralik/daire/140265-27","38","17.000","28-02-2025","İstanbul Kiralık Daire","Stüdyo","55 m²","4
                        Yaşında","Kot 1","Mecidiyeköy Merkezi Konumda Full Eşyalı 1+1 Kiralık Daire","İstanbul / Şişli / Kuştepe Mah.","","","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/3/7/6/3/2/4/4/faea1b02-1cc7-464b-8664-39b331fbd6a1.jpg","",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-halkali-merkez-kiralik/daire/111424-970","44","9.000","23-02-2025","İstanbul Kiralık Daire","3 +
                          1","100 m²","30
                        Yaşında","Bahçe Katı","Küçükçekmece Halkalı Metro İstasyonu 212 Avm Hayat Park Yakını Kiralık Bahçe Kat Daire","İstanbul / Küçükçekmece / Halkalı Merkez Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/1/8/6/3/2/4/4/1740318964524-44236810.jpg","",""
"https://www.hepsiemlak.com/istanbul-kartal-karliktepe-kiralik/daire/92946-1600","35","45.000","22-02-2025","İstanbul Kiralık Daire","1 +
                          1","90 m²","8
                        Yaşında","21 ve üzeri","Adalar Manzara'da Kiralık 1+1 Daire Balkonlu Ful Deniz Manzaralı","İstanbul / Kartal / Karlıktepe Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/alkaya-gayrimenkul-92946/mine-alkaya-1921686","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/2/0/4/3/2/4/4/1740236915-1575608-44234028.jpeg","Alkaya Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/6/8/6/1/2/9/1/3b7c654d-6c0b-4ab1-be78-27ad23ab2dbd.jpg"
"https://www.hepsiemlak.com/istanbul-pendik-velibaba-kiralik/daire/0-44234299","21","26.000","22-02-2025","İstanbul Kiralık Daire","2 +
                          1","110 m²","11
                        Yaşında","4. Kat","Pendik Velibaba Mh Eşyasız Daire","İstanbul / Pendik / Velibaba Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/2/4/3/2/4/4/1740241324662-44234299.jpg","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-sarigazi-kiralik/daire/0-44234422","21","25.000","25-02-2025","İstanbul Kiralık Daire","2 +
                          1","74 m²","15
                        Yaşında","4. Kat","Sahibinden Kiralık – Sancaktepe Ovalbahçe Sitesi","İstanbul / Sancaktepe / Sarıgazi Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/2/4/4/3/2/4/4/ddrDKKSKvI8skaSgbroH6.jpg","",""
"https://www.hepsiemlak.com/istanbul-esenyurt-hurriyet-kiralik/daire/152579-58","24","22.500","25-02-2025","İstanbul Kiralık Daire","4 +
                          1","170 m²","10
                        Yaşında","5. Kat","Kıraç Hürriyet Mah'de 4+1 170 M² Full Tadilatlı Teraslı Dubleks","İstanbul / Esenyurt / Hürriyet Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/7/6/2/2/4/4/640469e8-26bc-431b-94a6-e68b5c5b5326.jpg","",""
"https://www.hepsiemlak.com/istanbul-sisli-inonu-kiralik/daire/150692-56","19","34.000","01-03-2025","İstanbul Kiralık Daire","2 +
                          1","80 m²","Sıfır Bina","8. Kat","Kiralık 2+1 Full Eşyalı Dubleks Daire (teraslı) Harbiye","İstanbul / Şişli / İnönü Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/buyuk-emlak-ve-insaat-150692","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/0/2/8/2/2/4/4/7bb47a49-8171-43e0-8b3a-701588ceee52.jpg","Büyük Emlak Ve İnşaat","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/9/6/0/5/1/cffc8f42-b2de-42ce-9184-f8ec40da269e.jpg"
"https://www.hepsiemlak.com/istanbul-esenyurt-piri-reis-kiralik/daire/0-44194922","39","15.000","04-03-2025","İstanbul Kiralık Daire","1 +
                          1","90 m²","9
                        Yaşında","Ara Kat","Esenyurt Cumhuriyet Mh 1+1 Full Eşyalı Kiralık Daire Eşya Sıfır","İstanbul / Esenyurt / Piri Reis Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-ayazaga-kiralik/daire/137669-392","46","32.500","17-02-2025","İstanbul Kiralık Daire","1 +
                          1","69 m²","9
                        Yaşında","1. Kat","Green Pine Residence Full Eşyalı Büyük Tip 69 M2 1. Kat 1+1","İstanbul / Sarıyer / Ayazağa Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/safir-gayrimenkul-137669","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/6/6/7/3/1/f790a6f3-ded3-4315-b227-db72018d7873.jpg","Safir Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-kartal-kordonboyu-kiralik/daire/155153-17","60","38.000","14-02-2025","İstanbul Kiralık Daire","1 +
                          1","72 m²","15
                        Yaşında","Yüksek Giriş","Kartal Atalar Marmaray Ve Atalar Sahile Yürüme Mesafesinde Full Eşyalı Loft (1+1 )özel Daire","İstanbul / Kartal / Kordonboyu Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","","",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-soganli-kiralik/daire/0-44180973","44","21.000","28-02-2025","İstanbul Kiralık Daire","1 +
                          1","75 m²","7
                        Yaşında","Yüksek Giriş","Bahçelievler Soganlı Da 1+1 Yüksek Giriş  7 Yıllık Yeni Binada 70 M2 Kiralık Daire.","İstanbul / Bahçelievler / Soğanlı Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/7/9/0/8/1/4/4/1739373816524-44180973.jpg","",""
"https://www.hepsiemlak.com/istanbul-besiktas-ortakoy-kiralik/daire/12786-2745","35","75.000","28-02-2025","İstanbul Kiralık Daire","3 +
                          1","130 m²","31
                        Yaşında","3. Kat","Ulus Marmara Sitesi'nde Kiralık Yeni Mobilyalı 3+1 Daire","İstanbul / Beşiktaş / Ortaköy Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/0/1/8/1/4/4/11413824-0f3d-4462-90c8-1178be94bb9a.jpg","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-fikirtepe-kiralik/daire/7488-5625","60","36.000","12-02-2025","İstanbul Kiralık Daire","1 +
                          1","80 m²","4
                        Yaşında","9. Kat","Yapı34'ten Fikirtepe Torkam ' Da 1+1 Büyük Tip Kiralık Daire","İstanbul / Kadıköy / Fikirtepe Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/9/1/8/1/4/4/1739386912276-44181952.jpg","",""
"https://www.hepsiemlak.com/istanbul-umraniye-mehmet-akif-kiralik/daire/91281-108","41","32.000","12-02-2025","İstanbul Kiralık Daire","3 +
                          1","110 m²","25
                        Yaşında","Bahçe Katı","Şerifali Mehmet Akif Mah. Site İçinde 3+1 Kiralık","İstanbul / Ümraniye / Mehmet Akif Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/pekan-gayrimenkul-91281","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/0/0/0/8/1/4/4/1739363657640-44180004.jpg","Pekan Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/8/2/1/9/0/7df63a9e-82de-437a-be4c-cf3be537e412.jpg"
"https://www.hepsiemlak.com/istanbul-bakirkoy-yesilkoy-kiralik/daire/114219-836","39","100.000","12-02-2025","İstanbul Kiralık Daire","4 +
                          1","275 m²","45
                        Yaşında","2. Kat","Okçu Gayrimenkul'den Cadde Üzerinde 100 M² Salonlu,4.5 +1 250m²","İstanbul / Bakırköy / Yeşilköy Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/okcu-gayrimenkul-114219","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/7/9/7/1/4/4/1739361422-039829-44179776.jpeg","Okçu Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/1/2/4/1/1/c078fe85-1a0b-452b-a894-c2b81065afdf.jpg"
"https://www.hepsiemlak.com/istanbul-pendik-yenisehir-kiralik/daire/143828-110","30","25.000","27-02-2025","İstanbul Kiralık Daire","1 +
                          1","65 m²","7
                        Yaşında","4. Kat","Kiralık 1+1 Daire - İşyeri Yenişehir Arma Residence","İstanbul / Pendik / Yenişehir Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/locam-gayrimenkul-yatirim-danismanligi-143828","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/1/9/9/7/1/4/4/591c252b-e845-4782-8266-29dab72f958a.jpg","Locam Gayrimenkul Yatırım Danışmanlığı","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/2/8/3/4/1/14cfe8a5-f280-473e-8b57-dd79dcbc9bae.jpg"
"https://www.hepsiemlak.com/istanbul-kucukcekmece-cennet-kiralik/daire/131618-395","22","20.500","18-02-2025","İstanbul Kiralık Daire","2 +
                          1","100 m²","30
                        Yaşında","Ara Kat","Küçükçekmece Cennet Mahallesi Temiz Kullanışlı Asansörlü Kiralık Daire","İstanbul / Küçükçekmece / Cennet Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/home-park-131618","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/0/9/7/1/4/4/1739356108-812704-44179069.jpeg","Home Park","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/1/6/1/3/1/eccb3fe5-0c31-40c6-a68c-418e27209791.jpg"
"https://www.hepsiemlak.com/istanbul-kagithane-talatpasa-kiralik/daire/109630-686","60","17.000","11-02-2025","İstanbul Kiralık Daire","1 +
                          1","70 m²","25
                        Yaşında","2. Kat","Festa'dan Metrobüs1dk Yokuşsuz Balkonlu Eşyalı 1+1 Kiralık Daire","İstanbul / Kağıthane / Talatpaşa Mah.","","","","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/2/6/7/1/4/4/fbe91fe3-fad0-4469-9a52-6f89796246fb.jpg","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-abdurrahmangazi-kiralik/daire/67619-2436","45","42.000","11-02-2025","İstanbul Kiralık Daire","2 +
                          1","120 m²","8
                        Yaşında","Ara Kat","Sancaktepe Evre 1 Gedizler Sitesi 2+1 Kiralık Daire","İstanbul / Sancaktepe / Abdurrahmangazi Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/5/2/7/1/4/4/a8558347-bd63-4a30-b6b8-da26b9d0de4d.jpg","",""
"https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-kiralik/daire/151999-79","20","23.000","20-02-2025","İstanbul Kiralık Daire","1 +
                          1","130 m²","32
                        Yaşında","4. Kat","Gürmandan İdealtepe 50.Yılparkı Altında Namık Kemalde Kiralık Daire","İstanbul / Maltepe / İdealtepe Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/gurman-gayrimenkul-151999","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/2/5/3/7/1/4/4/1739269067353-44173524.jpg","Gürman Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/9/9/1/5/1/4d16a5da-76b1-4202-b6c2-c12385ccfa2f.jpg"
"https://www.hepsiemlak.com/istanbul-avcilar-cihangir-kiralik/daire/149989-34","33","20.000","10-02-2025","İstanbul Kiralık Daire","2 +
                          1","120 m²","25
                        Yaşında","3. Kat","Cihangir Metrobüse 3 Dk.Mesafede 2.Kat Full Eşyalı 2+1 Kiralık Daire","İstanbul / Avcılar / Cihangir Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/sirin-emlak-gayrimenkul-149989","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/2/0/1/7/1/4/4/1739217164177-44171024.jpg","Şirin Emlak Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/8/9/9/4/1/6dcd518a-c5b9-4ec7-9e48-35ed097a6fda.jpg"
