id,gender,age,height,weight,bmr,activity_level,tdee
170,Female,21,160,59,1324.0,Sedentary,1588.8
171,Female,59,163,62,1182.75,Moderately Active,1833.2625
172,Male,36,163,90,1743.75,Moderately Active,2702.8125
173,Male,35,204,66,1765.0,Moderately Active,2735.75
174,Female,54,190,69,1446.5,Lightly Active,1988.9375
175,Female,47,151,69,1237.75,Sedentary,1485.3
176,Female,36,169,68,1395.25,Very Active,2406.80625
177,Male,40,202,72,1787.5,Sedentary,2145.0
178,Male,33,210,72,1872.5,Moderately Active,2902.375
179,Male,18,167,84,1798.75,Sedentary,2158.5
180,Male,29,198,64,1737.5,Very Active,2997.1875
181,Male,41,184,98,1930.0,Lightly Active,2653.75
182,Male,51,175,88,1723.75,Sedentary,2068.5
183,Female,25,173,59,1385.25,Sedentary,1662.3
184,Male,35,176,83,1760.0,Lightly Active,2420.0
185,Male,65,177,69,1476.25,Lightly Active,2029.84375
186,Male,22,186,84,1897.5,Moderately Active,2941.125
187,Female,43,186,68,1466.5,Moderately Active,2273.0750000000003
188,Male,47,176,69,1560.0,Lightly Active,2145.0
189,Male,30,202,98,2097.5,Very Active,3618.1875
190,Female,36,164,52,1204.0,Moderately Active,1866.2
191,Male,46,175,87,1738.75,Very Active,2999.34375
192,Male,20,174,71,1702.5,Lightly Active,2340.9375
193,Male,43,201,91,1956.25,Sedentary,2347.5
194,Male,57,205,88,1881.25,Lightly Active,2586.71875
195,Male,29,193,86,1926.25,Lightly Active,2648.59375
196,Female,19,173,80,1625.25,Super Active,3087.975
197,Female,28,189,65,1530.25,Lightly Active,2104.09375
198,Female,61,189,58,1295.25,Moderately Active,2007.6375
199,Male,45,206,98,2047.5,Sedentary,2457.0
200,Male,35,169,60,1486.25,Very Active,2563.78125
201,Male,30,164,94,1820.0,Super Active,3458.0
202,Female,54,157,77,1320.25,Moderately Active,2046.3875
203,Male,39,185,63,1596.25,Sedentary,1915.5
204,Male,29,181,78,1771.25,Very Active,3055.40625
205,Female,19,154,51,1216.5,Sedentary,1459.8
206,Male,54,182,65,1522.5,Moderately Active,2359.875
207,Female,24,153,53,1205.25,Sedentary,1446.3
208,Female,43,184,77,1544.0,Lightly Active,2123.0
209,Female,43,189,55,1355.25,Sedentary,1626.3
210,Male,41,179,68,1598.75,Lightly Active,2198.28125
211,Male,29,187,88,1908.75,Moderately Active,2958.5625
212,Male,33,203,69,1798.75,Super Active,3417.625
213,Male,40,196,93,1960.0,Lightly Active,2695.0
214,Male,57,183,90,1763.75,Sedentary,2116.5
215,Male,26,203,81,1953.75,Sedentary,2344.5
216,Male,49,192,63,1590.0,Sedentary,1908.0
217,Female,32,150,53,1146.5,Moderately Active,1777.075
218,Male,54,207,64,1668.75,Very Active,2878.59375
219,Female,30,171,59,1347.75,Sedentary,1617.3
220,Male,22,203,78,1943.75,Sedentary,2332.5
221,Male,28,168,97,1885.0,Lightly Active,2591.875
222,Male,27,204,74,1885.0,Super Active,3581.5
223,Female,30,163,61,1317.75,Sedentary,1581.3
224,Female,58,158,75,1286.5,Moderately Active,1994.075
225,Female,63,168,71,1284.0,Very Active,2214.9
226,Female,32,189,76,1620.25,Very Active,2794.93125
227,Male,59,178,97,1792.5,Very Active,3092.0625
228,Female,24,153,56,1235.25,Moderately Active,1914.6375
229,Male,57,162,95,1682.5,Very Active,2902.3125
230,Male,45,192,74,1720.0,Very Active,2967.0
231,Female,49,151,59,1127.75,Lightly Active,1550.65625
232,Female,52,176,77,1449.0,Very Active,2499.525
233,Female,32,166,65,1366.5,Lightly Active,1878.9375
234,Female,65,180,52,1159.0,Lightly Active,1593.625
235,Female,53,190,76,1521.5,Lightly Active,2092.0625
236,Female,38,155,57,1187.75,Moderately Active,1841.0125
237,Female,23,180,72,1569.0,Sedentary,1882.8
238,Female,18,152,77,1469.0,Super Active,2791.1
239,Male,21,176,92,1920.0,Very Active,3312.0
240,Female,28,152,53,1179.0,Super Active,2240.1
241,Female,61,182,70,1371.5,Sedentary,1645.8
242,Male,43,189,73,1701.25,Lightly Active,2339.21875
243,Female,54,170,68,1311.5,Lightly Active,1803.3125
244,Male,40,182,72,1662.5,Lightly Active,2285.9375
245,Male,46,205,74,1796.25,Lightly Active,2469.84375
246,Female,38,170,75,1461.5,Very Active,2521.0875
247,Male,65,188,64,1495.0,Sedentary,1794.0
248,Male,62,163,73,1443.75,Sedentary,1732.5
249,Male,62,197,73,1656.25,Sedentary,1987.5
250,Male,44,188,64,1600.0,Super Active,3040.0
251,Female,56,182,73,1426.5,Lightly Active,1961.4375
252,Male,57,186,91,1792.5,Moderately Active,2778.375
253,Female,30,186,58,1431.5,Sedentary,1717.8
254,Male,40,195,95,1973.75,Super Active,3750.125
255,Male,33,194,74,1792.5,Very Active,3092.0625
256,Male,47,165,66,1461.25,Lightly Active,2009.21875
257,Male,21,182,64,1677.5,Super Active,3187.25
258,Female,57,189,50,1235.25,Moderately Active,1914.6375
259,Female,33,185,52,1350.25,Moderately Active,2092.8875000000003
260,Male,48,203,89,1923.75,Very Active,3318.46875
261,Male,59,207,73,1733.75,Sedentary,2080.5
262,Female,42,169,80,1485.25,Sedentary,1782.3
263,Male,61,161,83,1536.25,Super Active,2918.875
264,Male,29,172,94,1875.0,Super Active,3562.5
265,Male,43,199,64,1673.75,Sedentary,2008.5
266,Female,54,150,76,1266.5,Sedentary,1519.8
267,Female,65,168,71,1274.0,Super Active,2420.6
268,Female,50,172,54,1204.0,Lightly Active,1655.5
269,Male,45,195,95,1948.75,Moderately Active,3020.5625
270,Male,26,207,80,1968.75,Moderately Active,3051.5625
271,Female,29,183,75,1587.75,Very Active,2738.86875
272,Female,22,168,58,1359.0,Moderately Active,2106.4500000000003
273,Female,45,167,70,1357.75,Super Active,2579.725
274,Female,52,151,58,1102.75,Lightly Active,1516.28125
275,Male,22,182,86,1892.5,Super Active,3595.75
276,Female,51,155,64,1192.75,Sedentary,1431.3
277,Male,63,172,81,1575.0,Sedentary,1890.0
278,Female,51,155,78,1332.75,Moderately Active,2065.7625000000003
279,Male,30,206,94,2082.5,Lightly Active,2863.4375
280,Female,56,180,61,1294.0,Very Active,2232.15
281,Female,59,190,54,1271.5,Super Active,2415.85
282,Female,62,189,50,1210.25,Very Active,2087.68125
283,Female,65,179,71,1342.75,Very Active,2316.24375
284,Male,31,198,98,2067.5,Very Active,3566.4375
285,Female,28,190,60,1486.5,Very Active,2564.2125
286,Male,59,198,100,1947.5,Super Active,3700.25
287,Male,55,182,62,1487.5,Sedentary,1785.0
288,Male,21,189,77,1851.25,Super Active,3517.375
289,Male,50,177,75,1611.25,Sedentary,1933.5
290,Female,24,177,66,1485.25,Sedentary,1782.3
291,Male,58,177,60,1421.25,Super Active,2700.375
292,Male,25,205,85,2011.25,Super Active,3821.375
293,Male,54,169,71,1501.25,Super Active,2852.375
294,Female,27,167,54,1287.75,Sedentary,1545.3
295,Female,60,169,56,1155.25,Super Active,2194.975
296,Female,32,154,76,1401.5,Lightly Active,1927.0625
297,Female,55,167,75,1357.75,Moderately Active,2104.5125000000003
298,Male,32,166,71,1592.5,Moderately Active,2468.375
299,Male,22,164,72,1640.0,Lightly Active,2255.0
300,Female,46,164,58,1214.0,Moderately Active,1881.7
301,Male,36,205,78,1886.25,Sedentary,2263.5
302,Male,27,177,78,1756.25,Super Active,3336.875
303,Male,29,172,65,1585.0,Super Active,3011.5
304,Female,21,157,53,1245.25,Super Active,2365.975
305,Female,48,156,80,1374.0,Lightly Active,1889.25
306,Male,35,167,87,1743.75,Lightly Active,2397.65625
307,Female,33,189,72,1575.25,Sedentary,1890.3
308,Female,57,189,73,1465.25,Lightly Active,2014.71875
309,Female,53,179,56,1252.75,Super Active,2380.225
310,Female,42,187,76,1557.75,Sedentary,1869.3
311,Female,40,184,63,1419.0,Sedentary,1702.8
312,Male,29,174,78,1727.5,Super Active,3282.25
313,Female,51,157,75,1315.25,Very Active,2268.80625
314,Male,53,199,78,1763.75,Super Active,3351.125
315,Male,54,210,94,1987.5,Sedentary,2385.0
316,Female,20,186,73,1631.5,Very Active,2814.3375
317,Male,26,174,79,1752.5,Super Active,3329.75
318,Male,35,194,96,2002.5,Super Active,3804.75
319,Male,60,165,78,1516.25,Very Active,2615.53125
320,Female,52,178,56,1251.5,Very Active,2158.8375
321,Female,51,190,64,1411.5,Moderately Active,2187.8250000000003
322,Male,58,190,74,1642.5,Very Active,2833.3125
323,Female,31,165,63,1345.25,Lightly Active,1849.71875
324,Female,21,161,62,1360.25,Very Active,2346.43125
325,Female,46,151,79,1342.75,Sedentary,1611.3
326,Female,58,168,68,1279.0,Very Active,2206.275
327,Male,62,174,70,1482.5,Super Active,2816.75
328,Male,32,177,82,1771.25,Lightly Active,2435.46875
329,Female,45,173,75,1445.25,Very Active,2493.05625
330,Female,59,162,65,1206.5,Lightly Active,1658.9375
331,Male,33,199,85,1933.75,Moderately Active,2997.3125
332,Male,29,173,66,1601.25,Lightly Active,2201.71875
333,Female,22,187,54,1437.75,Super Active,2731.725
334,Male,51,170,72,1532.5,Moderately Active,2375.375
335,Female,59,166,76,1341.5,Very Active,2314.0875
336,Female,18,152,74,1439.0,Lightly Active,1978.625
337,Male,56,160,69,1415.0,Moderately Active,2193.25
338,Male,49,184,96,1870.0,Very Active,3225.75
339,Female,43,187,60,1392.75,Very Active,2402.49375
340,Female,34,171,76,1497.75,Lightly Active,2059.40625
341,Male,65,172,95,1705.0,Lightly Active,2344.375
342,Female,44,178,67,1401.5,Moderately Active,2172.3250000000003
343,Male,41,191,80,1793.75,Lightly Active,2466.40625
344,Female,52,154,63,1171.5,Very Active,2020.8375
345,Male,63,186,76,1612.5,Super Active,3063.75
346,Male,59,163,74,1468.75,Moderately Active,2276.5625
347,Male,56,183,72,1588.75,Super Active,3018.625
348,Female,43,182,52,1281.5,Super Active,2434.85
349,Female,55,188,52,1259.0,Very Active,2171.775
350,Male,40,193,86,1871.25,Super Active,3555.375
351,Female,39,162,69,1346.5,Sedentary,1615.8
352,Male,21,189,89,1971.25,Moderately Active,3055.4375
353,Male,26,185,82,1851.25,Very Active,3193.40625
354,Female,21,184,79,1674.0,Lightly Active,2301.75
355,Female,24,157,54,1240.25,Very Active,2139.43125
356,Male,40,162,78,1597.5,Lightly Active,2196.5625
357,Female,19,185,61,1510.25,Very Active,2605.18125
358,Female,41,155,73,1332.75,Sedentary,1599.3
359,Male,57,199,77,1733.75,Moderately Active,2687.3125
360,Male,48,203,85,1883.75,Super Active,3579.125
361,Female,64,185,52,1195.25,Very Active,2061.80625
362,Male,48,182,70,1602.5,Moderately Active,2483.875
363,Male,64,203,88,1833.75,Moderately Active,2842.3125
364,Female,57,188,53,1259.0,Moderately Active,1951.45
365,Male,65,192,76,1640.0,Moderately Active,2542.0
366,Male,60,174,86,1652.5,Moderately Active,2561.375
367,Female,51,167,75,1377.75,Super Active,2617.725
368,Female,41,161,77,1410.25,Super Active,2679.475
369,Male,43,176,67,1560.0,Very Active,2691.0
370,Male,33,200,62,1710.0,Lightly Active,2351.25
371,Female,64,164,60,1144.0,Very Active,1973.4
372,Female,30,176,54,1329.0,Moderately Active,2059.9500000000003
373,Female,32,165,77,1480.25,Lightly Active,2035.34375
374,Female,44,170,62,1301.5,Very Active,2245.0875
375,Male,21,166,86,1797.5,Lightly Active,2471.5625
376,Female,33,178,58,1366.5,Super Active,2596.35
377,Female,47,152,56,1114.0,Moderately Active,1726.7
378,Male,61,182,93,1767.5,Lightly Active,2430.3125
379,Female,47,177,74,1450.25,Sedentary,1740.3
380,Male,53,192,90,1840.0,Moderately Active,2852.0
381,Female,20,186,78,1681.5,Super Active,3194.85
382,Female,39,180,62,1389.0,Super Active,2639.1
383,Female,39,180,59,1359.0,Very Active,2344.275
384,Male,29,201,92,2036.25,Sedentary,2443.5
385,Male,38,193,90,1921.25,Lightly Active,2641.71875
386,Female,21,189,77,1685.25,Very Active,2907.05625
387,Male,48,180,99,1880.0,Super Active,3572.0
388,Male,61,183,82,1663.75,Lightly Active,2287.65625
389,Male,48,174,97,1822.5,Super Active,3462.75
390,Male,40,194,62,1637.5,Super Active,3111.25
391,Male,37,184,75,1720.0,Sedentary,2064.0
392,Male,32,168,61,1505.0,Moderately Active,2332.75
393,Female,40,177,51,1255.25,Lightly Active,1725.96875
394,Female,45,153,53,1100.25,Sedentary,1320.3
395,Male,33,172,89,1805.0,Super Active,3429.5
396,Female,54,187,57,1307.75,Super Active,2484.725
397,Female,38,186,75,1561.5,Sedentary,1873.8
398,Female,32,174,67,1436.5,Lightly Active,1975.1875
399,Female,34,190,79,1646.5,Super Active,3128.35
400,Male,54,187,84,1743.75,Lightly Active,2397.65625
401,Female,30,178,53,1331.5,Sedentary,1597.8
402,Female,36,190,53,1376.5,Super Active,2615.35
403,Male,47,170,89,1722.5,Very Active,2971.3125
404,Male,62,183,77,1608.75,Very Active,2775.09375
405,Female,35,184,70,1514.0,Super Active,2876.6
406,Female,31,169,60,1340.25,Moderately Active,2077.3875000000003
407,Female,53,166,69,1301.5,Super Active,2472.85
408,Female,53,161,80,1380.25,Super Active,2622.475
409,Female,37,185,73,1540.25,Super Active,2926.475
410,Female,36,159,53,1182.75,Sedentary,1419.3
411,Male,62,198,69,1622.5,Super Active,3082.75
412,Female,61,179,80,1452.75,Super Active,2760.225
413,Female,24,157,73,1430.25,Sedentary,1716.3
414,Male,61,178,75,1562.5,Super Active,2968.75
415,Male,21,171,88,1848.75,Very Active,3189.09375
416,Male,51,181,77,1651.25,Very Active,2848.40625
417,Male,19,206,86,2057.5,Super Active,3909.25
418,Female,22,156,79,1494.0,Sedentary,1792.8
419,Female,27,170,74,1506.5,Super Active,2862.35
420,Female,49,187,57,1332.75,Super Active,2532.225
421,Female,59,177,50,1150.25,Lightly Active,1581.59375
422,Female,58,170,77,1381.5,Moderately Active,2141.3250000000003
423,Female,30,170,68,1431.5,Sedentary,1717.8
424,Male,56,170,89,1677.5,Moderately Active,2600.125
425,Female,22,176,80,1629.0,Lightly Active,2239.875
426,Male,27,207,88,2043.75,Moderately Active,3167.8125
427,Male,27,177,73,1706.25,Super Active,3241.875
428,Female,55,178,50,1176.5,Very Active,2029.4625
429,Male,44,186,78,1727.5,Sedentary,2073.0
430,Female,38,177,59,1345.25,Sedentary,1614.3
431,Male,25,207,69,1863.75,Super Active,3541.125
432,Female,18,178,71,1571.5,Moderately Active,2435.8250000000003
433,Male,45,182,87,1787.5,Sedentary,2145.0
434,Female,56,185,54,1255.25,Lightly Active,1725.96875
435,Female,31,179,61,1412.75,Lightly Active,1942.53125
436,Female,38,177,77,1525.25,Moderately Active,2364.1375000000003
437,Female,47,172,78,1459.0,Lightly Active,2006.125
438,Female,38,182,52,1306.5,Very Active,2253.7125
439,Male,26,189,99,2046.25,Super Active,3887.875
440,Male,34,189,71,1726.25,Sedentary,2071.5
441,Male,22,172,87,1840.0,Super Active,3496.0
442,Female,48,153,64,1195.25,Moderately Active,1852.6375
443,Male,57,208,60,1620.0,Super Active,3078.0
444,Female,55,161,60,1170.25,Sedentary,1404.3
445,Female,60,162,75,1301.5,Sedentary,1561.8
446,Male,36,167,95,1818.75,Moderately Active,2819.0625
447,Male,53,183,91,1793.75,Sedentary,2152.5
448,Female,50,158,58,1156.5,Lightly Active,1590.1875
449,Male,30,194,87,1937.5,Super Active,3681.25
450,Female,31,156,61,1269.0,Very Active,2189.025
451,Female,50,162,53,1131.5,Very Active,1951.8375
452,Female,46,151,75,1302.75,Very Active,2247.24375
453,Female,60,182,68,1356.5,Moderately Active,2102.5750000000003
454,Female,53,156,59,1139.0,Very Active,1964.775
455,Male,61,172,92,1695.0,Super Active,3220.5
456,Male,27,186,89,1922.5,Sedentary,2307.0
457,Female,48,161,62,1225.25,Lightly Active,1684.71875
458,Female,23,179,58,1422.75,Very Active,2454.24375
459,Male,18,195,84,1973.75,Very Active,3404.71875
460,Male,24,185,97,2011.25,Very Active,3469.40625
461,Female,44,153,51,1085.25,Lightly Active,1492.21875
462,Male,38,204,64,1730.0,Super Active,3287.0
463,Female,45,166,71,1361.5,Very Active,2348.5875
464,Male,33,169,92,1816.25,Sedentary,2179.5
465,Female,63,151,50,967.75,Moderately Active,1500.0125
466,Male,40,185,60,1561.25,Lightly Active,2146.71875
467,Female,37,171,56,1282.75,Super Active,2437.225
468,Male,55,171,66,1458.75,Sedentary,1750.5
469,Male,42,191,82,1808.75,Lightly Active,2487.03125
470,Female,45,181,74,1485.25,Lightly Active,2042.21875
471,Male,22,192,73,1825.0,Moderately Active,2828.75
472,Female,38,154,53,1141.5,Moderately Active,1769.325
473,Male,35,198,68,1747.5,Super Active,3320.25
474,Female,64,156,57,1064.0,Very Active,1835.4
475,Male,23,199,67,1803.75,Moderately Active,2795.8125
476,Female,46,182,70,1446.5,Super Active,2748.35
477,Male,36,173,91,1816.25,Lightly Active,2497.34375
478,Female,50,174,53,1206.5,Very Active,2081.2125
479,Male,18,199,97,2128.75,Sedentary,2554.5
480,Female,62,178,53,1171.5,Lightly Active,1610.8125
481,Female,20,154,57,1271.5,Super Active,2415.85
482,Female,59,187,59,1302.75,Sedentary,1563.3
483,Male,38,188,70,1690.0,Lightly Active,2323.75
484,Female,52,181,78,1490.25,Moderately Active,2309.8875000000003
485,Male,58,175,85,1658.75,Super Active,3151.625
486,Female,57,169,68,1290.25,Sedentary,1548.3
487,Male,20,194,97,2087.5,Moderately Active,3235.625
488,Female,42,157,54,1150.25,Sedentary,1380.3
489,Male,62,162,92,1627.5,Very Active,2807.4375
490,Male,55,163,87,1618.75,Very Active,2792.34375
491,Female,62,164,76,1314.0,Super Active,2496.6
492,Male,37,169,78,1656.25,Sedentary,1987.5
493,Male,61,188,85,1725.0,Very Active,2975.625
494,Female,62,152,80,1279.0,Lightly Active,1758.625
495,Male,51,190,70,1637.5,Lightly Active,2251.5625
496,Male,38,161,100,1821.25,Very Active,3141.65625
497,Male,65,171,91,1658.75,Very Active,2861.34375
498,Female,40,184,74,1529.0,Super Active,2905.1
499,Male,23,164,97,1885.0,Super Active,3581.5
500,Female,30,183,51,1342.75,Lightly Active,1846.28125
501,Male,40,186,99,1957.5,Moderately Active,3034.125
502,Male,26,182,81,1822.5,Sedentary,2187.0
503,Male,34,192,86,1895.0,Moderately Active,2937.25
504,Female,19,169,57,1370.25,Super Active,2603.475
505,Male,36,180,99,1940.0,Moderately Active,3007.0
506,Male,36,183,90,1868.75,Super Active,3550.625
507,Female,24,151,76,1422.75,Moderately Active,2205.2625000000003
